flow,region,accumulation,G,CV
0.2,0,30,0.0,2.3034261748306326
0.2,0,30,0.0,2.3034261748306326
0.2,0,33,0.3,2.6752766011864773
0.2,0,39,0.1,2.319241247698512
0.2,0,46,0.0,2.4373051188665236
0.2,0,53,0.1,2.032606587208507
0.2,0,62,0.4,1.946339802310238
0.2,0,63,0.1,1.9548118686436076
0.2,0,72,0.0,1.8611540381426588
0.2,0,82,0.1,2.0827025129541163
0.2,0,92,0.2,1.6809374924537053
0.2,0,98,0.4,1.4864092035616803
0.2,0,102,0.4,1.5891099885272282
0.2,0,109,0.5,1.633205590965414
0.2,0,115,0.3,1.5954889090864357
0.2,0,121,0.3,1.5145540336926266
0.2,0,130,0.3,1.4727174431755057
0.2,0,136,0.8,1.7202971209849032
0.2,0,138,0.6,1.941675203702789
0.2,0,149,0.3,1.516724563635635
0.2,0,159,0.4,1.6142095212965095
0.2,0,163,0.9,1.4266728524631915
0.2,0,167,0.8,1.3845116485427011
0.2,0,169,0.2,1.6728491941831418
0.2,0,175,0.5,1.3098473320879316
0.2,0,178,0.4,1.1913765984636393
0.2,0,186,0.5,1.2868117142888345
0.2,0,186,0.8,1.3769334507700364
0.2,0,196,0.8,1.375225347366017
0.2,0,195,0.9,1.3230057276531617
0.2,0,200,0.5,1.2204145802070845
0.2,0,203,0.5,1.5665845728038155
0.2,0,209,1.7,1.3683429850497268
0.2,0,202,0.8,1.192761840717635
0.2,0,206,0.5,1.4136603843751678
0.2,0,213,0.9,1.343093124360424
0.2,0,209,0.0,1.4217768004649236
0.2,0,226,1.7,1.5792769392724293
0.2,0,221,1.0,1.3255951494893934
0.2,0,223,1.1,1.1989945230493682
0.2,0,225,0.5,1.2504693761051675
0.2,0,232,1.0,1.5713794800630767
0.2,0,229,2.6,1.6030418662196784
0.2,0,219,0.7,1.425634820304188
0.2,0,219,0.5,1.4283604215327332
0.2,0,221,0.2,1.6320291573992451
0.2,0,235,0.8,1.5471450138850655
0.2,0,246,1.4,1.3092187674403706
0.2,0,240,1.3,1.6171279464940633
0.2,0,239,0.6,1.4058753230626344
0.2,0,246,0.6,1.25147870025128
0.2,0,250,0.4,1.5726537511328116
0.2,0,252,2.1,1.4876567332233708
0.2,0,237,0.8,1.428264003618373
0.2,0,234,0.4,1.5457590301191595
0.2,0,242,0.8,1.465573559973312
0.2,0,249,0.9,1.5927226944664261
0.2,0,247,1.4,1.302400663465755
0.2,0,240,0.9,1.5342161255243094
0.2,0,240,0.7,1.5984561039999141
0.2,0,240,0.6,1.6008939796702757
0.2,0,253,1.6,1.288979183464936
0.2,0,245,2.4,1.482832249008271
0.2,0,234,0.9,1.1839474703086077
0.2,0,234,1.2,1.192437287488109
0.2,0,236,0.3,1.329024951754989
0.2,0,246,0.6,1.2071026737325978
0.2,0,254,2.6,1.5108209748111112
0.2,0,236,0.8,1.318290028872518
0.2,0,237,0.1,1.337874455317788
0.2,0,259,0.4,1.2772737767633269
0.2,0,263,2.0,1.6208935026844298
0.2,0,253,0.7,1.6079314538173246
0.2,0,261,1.2,1.3918411676942257
0.2,0,263,0.6,1.5535725001134428
0.2,0,267,0.3,1.6181014752671812
0.2,0,278,1.3,1.2820019597777912
0.2,0,274,2.1,1.1992014190025868
0.2,0,259,1.2,1.5438502495983302
0.2,0,259,1.1,1.7874750902544374
0.2,0,259,0.6,1.9143725989578162
0.2,0,270,1.6,1.9756106675064864
0.2,0,264,1.3,1.9218315635071925
0.2,0,266,1.2,1.7137579371152705
0.2,0,262,1.2,1.7599058724262269
