,region,accumulation,G
0,0,134,0.0
1,0,134,0.1
2,0,150,0.3
3,0,182,0.1
4,0,205,0.4
5,0,237,0.3
6,0,270,0.6
7,0,296,1.3
8,0,320,0.6
9,0,347,1.5
10,0,369,1.1
11,0,395,1.3
12,0,419,2.7
13,0,436,1.8
14,0,458,2.5
15,0,471,1.6
16,0,490,0.8
17,0,516,1.5
18,0,549,2.1
19,0,577,2.4
20,0,593,4.2
21,0,595,2.9
22,0,603,3.9
23,0,604,2.5
24,0,628,1.8
25,0,674,1.9
26,0,702,3.4
27,0,705,3.2
28,0,735,1.6
29,0,768,2.1
30,0,790,5.7
31,0,791,3.7
32,0,793,4.3
33,0,789,3.6
34,0,780,2.2
35,0,811,2.1
36,0,845,2.2
37,0,890,3.5
38,0,912,3.2
39,0,925,3.9
40,0,926,5.1
41,0,925,3.5
42,0,923,4.0
43,0,928,4.5
44,0,931,2.1
45,0,950,3.1
46,0,986,3.3
47,0,1025,3.5
48,0,1053,3.1
49,0,1084,4.3
50,0,1085,5.4
51,0,1081,3.5
52,0,1096,3.4
53,0,1103,4.5
54,0,1101,4.2
55,0,1109,4.3
56,0,1134,1.8
57,0,1176,4.7
58,0,1194,3.8
59,0,1216,3.0
60,0,1231,6.5
61,0,1237,4.8
62,0,1226,4.0
63,0,1245,5.8
64,0,1241,3.3
65,0,1255,3.3
66,0,1285,3.5
67,0,1300,4.5
68,0,1296,3.9
69,0,1299,4.2
70,0,1326,5.8
71,0,1344,5.1
72,0,1348,6.5
73,0,1355,7.7
74,0,1318,3.6
75,0,1340,3.7
76,0,1367,2.0
77,0,1399,3.6
78,0,1400,2.5
79,0,1429,3.5
80,0,1432,7.7
81,0,1424,6.0
82,0,1464,4.7
83,0,1469,5.2
84,0,1460,4.5
85,0,1464,3.4
86,0,1481,2.5
87,0,1508,4.1
88,0,1523,3.8
89,0,1522,4.0
90,0,1513,5.5
91,0,1552,5.0
92,0,1562,5.8
93,0,1556,5.2
94,0,1564,3.5
95,0,1583,3.8
96,0,1600,3.3
97,0,1617,3.6
