,id,from,to,average_twodirection_density,average_twodirection_speed,reverse_edge,twodir_density_interval,twodir_speed_interval
0,-234860056#2,642,7684364332,12.513426758593125,5.222466446642572,6421,[25.02685351718625],[6.764211872105973]
1,-237315097#1,515,2452355799,27.495483288166213,3.966024806743808,5154,[54.990966576332426],[1.0358065997029269]
2,-248657878#0,61,7755854863,2.5113903586125805,10.104727794511163,61-3,[5.022780717225161],[12.856792704125025]
3,-829190339#1,52,3662570820,2.0398082359738376,10.376033419961292,52-4,[4.079616471947675],[13.241324514849657]
4,-gneE28,31,gneJ16,1.8418197664194313,6.4175121296625095,31-1,[3.6836395328388627],[6.649644580583539]
5,1-1,3,1,1.3437741686001548,9.898997024917291,3-3,[2.6875483372003095],[11.86667494461612]
6,1-2,zhanwen,1,1.8761854488545269,7.921509806087973,zhanwen4,[3.752370897709054],[8.496199823992546]
7,1-3,11,1,1.0528646365556236,9.282054236540237,11-1,[2.105729273111247],[7.99814788282055]
8,1-4,2,1,1.5353747941784133,9.279054511610829,2-2,[3.0707495883568265],[8.516017636543781]
9,10-1,502,10,11.60396166306332,3.2719368831948437,5023,[23.207923326126636],[1.9154055759907298]
10,10-2,9,10,6.93290680502118,5.206317453980085,9-4,[13.86581361004236],[7.359808938738313]
11,10-3,16,10,11.91125526367907,2.3816338665601204,16-1,[23.82251052735814],[3.1818021837060346]
12,10-4,11,10,3.3668454883447825,5.479319191024402,11-2,[6.733690976689565],[3.756058578646971]
13,11-1,1,11,1.051582878883508,9.282054236540237,1-3,[2.103165757767016],[10.565960590259921]
14,11-2,10,11,3.3673441029837767,5.479319191024402,10-4,[6.734688205967553],[7.202579803401833]
15,11-3,21,11,0.9137786290900574,9.527329744586382,21-1,[1.8275572581801145],[9.072777033794356]
16,11-4,12,11,1.4847387178441565,7.958978406336455,12-2,[2.9694774356883133],[8.460808759427987]
17,12-1,2,12,1.3025491343891942,8.257306078431741,2-3,[2.6050982687783883],[7.99179292434631]
18,12-2,11,12,1.483453229776759,7.958978406336455,11-4,[2.9669064595535186],[7.457148053244925]
19,12-3,506,12,1.1154257249041468,10.189801049017852,5061,[2.2308514498082936],[10.055967403078537]
20,12-4,13,12,2.0220499004902672,7.904251881335679,13-2,[4.044099800980535],[9.283008284437253]
21,13-1,4,13,0.7565113772801574,8.65342356636941,4-3,[1.5130227545603148],[8.817141620368814]
22,13-2,12,13,2.007850650856914,7.904251881335679,12-4,[4.015701301713827],[6.525495478234105]
23,13-3,507,13,0.9354838709677419,9.560292211731461,5071,[1.8709677419354838],[8.489776381259627]
24,13-4,8186532288,13,1.1621599163401644,9.47921637806572,13-5,[2.3243198326803287],[9.628973218935034]
25,13-5,13,8186532288,1.1621599163401644,9.47921637806572,13-4,[2.3243198326803287],[9.329459537196405]
26,14-1,8,14,2.715300856323961,7.799145100297117,8-3,[5.430601712647922],[11.198141835305778]
27,14-2,505,14,2.719283892189441,5.6506438362171805,5054,[5.438567784378882],[6.291284610141909]
28,14-3,18,14,1.365464442536641,11.201794954768351,18-1,[2.7309288850732814],[11.430840965021439]
29,14-4,15,14,3.4941199768455045,4.1641614792203745,15-2,[6.98823995369101],[5.737047573985071]
30,15-1,9,15,23.20886941537831,2.8434608300943838,9-3,[46.41773883075662],[1.8571915345424168]
31,15-2,14,15,3.505956304511889,4.1641614792203745,14-4,[7.011912609023779],[2.591275384455678]
32,15-3,19,15,24.143736029653923,3.2821140672172318,19-1,[48.28747205930784],[5.016890104898373]
33,15-4,16,15,4.6553792464147445,3.4457593698802094,16-2,[9.310758492829489],[2.8318532610548233]
34,16-1,10,16,11.942312324629077,2.3816338665601204,10-3,[23.884624649258154],[1.581465549414206]
35,16-2,15,16,4.633096726578101,3.4457593698802094,15-4,[9.266193453156204],[4.059665478705596]
36,16-3,20,16,14.695600833409188,2.65441308547802,20-1,[29.39120166681838],[3.819812459198882]
37,16-4,gneJ12,16,1.5227215080032572,6.812041065378903,16-5,[3.0454430160065145],[6.941371077504416]
38,16-5,16,gneJ12,1.5227215080032572,6.812041065378903,16-4,[3.0454430160065145],[6.68271105325339]
39,17-1,505,17,25.322993056492855,3.0141987028238058,5053,[50.64598611298571],[1.8166023654582597]
40,17-2,shuangbo,17,10.990171641468397,3.1566203507177097,shuangbo4,[21.980343282936797],[1.8370947940496611]
41,17-3,532,17,31.214239006048714,2.80140209005804,5321,[62.42847801209743],[2.7369024127583725]
42,17-4,533,17,12.213664167171224,4.420187422337654,5332,[24.427328334342445],[4.142151952634563]
43,18-1,14,18,1.365464442536641,11.201794954768351,14-3,[2.7309288850732814],[10.972748944515262]
44,18-2,533,18,13.279378442122942,4.698579408105421,5334,[26.55875688424588],[3.4150324205065923]
45,18-3,525,18,2.114840621977681,10.056811843563574,5251,[4.229681243955361],[7.89396185290764]
46,18-4,19,18,15.631692734272628,3.77629020277161,19-2,[31.263385468545255],[5.799985579603901]
47,19-1,15,19,24.210406127037665,3.2821140672172318,15-3,[48.42081225407532],[1.547338029536091]
48,19-2,18,19,15.631692734272628,3.77629020277161,18-4,[31.263385468545255],[1.7525948259393194]
49,19-3,516,19,25.28401613621639,3.7908961087882567,5161,[50.56803227243278],[5.944390447755466]
50,19-4,534,19,6.275568681928467,4.182542842784752,5342,[12.551137363856935],[2.2017577821429817]
51,2-1,5365737697,2,0.6243633941863198,10.315211319947696,2-5,[1.2487267883726398],[10.82980710457262]
52,2-2,1,2,1.5353747941784133,9.279054511610829,1-4,[3.0707495883568265],[10.042091386677876]
53,2-3,12,2,1.3049894379008302,8.257306078431741,12-1,[2.6099788758016604],[8.522819232517172]
54,2-4,4,2,1.1657892326663855,11.155087330976544,4-2,[2.3315784653327705],[10.170731042662872]
55,2-5,2,5365737697,0.6243633941863198,10.315211319947696,2-1,[1.2487267883726398],[9.800615535322772]
56,20-1,16,20,14.695600833409188,2.65441308547802,16-3,[29.39120166681838],[1.489013711757159]
57,20-2,534,20,4.399403685729692,3.0609408875787265,5344,[8.798807371459384],[2.4046922539296554]
58,20-3,512,20,10.805773653739392,2.4410810535035807,5121,[21.611547307478784],[3.2739484211396985]
59,20-4,21,20,10.178674293644248,3.411309127996922,21-2,[20.35734858728849],[1.7588584998905878]
60,21-1,11,21,0.9141525626766278,9.527329744586382,11-3,[1.8283051253532554],[9.981882455378408]
61,21-2,20,21,10.1550426108865,3.411309127996922,20-4,[20.310085221773],[5.063759756103256]
62,21-3,gneJ16,21,1.5231724458736562,5.98233636266111,21-5,[3.0463448917473124],[5.277660570423485]
63,21-4,22,21,3.3781750331046108,4.3183552600086355,22-2,[6.756350066209221],[3.9010578127705497]
64,21-5,21,gneJ16,1.5231724458736562,5.98233636266111,21-3,[3.0463448917473124],[6.687012154898737]
65,22-1,506,22,0.9549537940429292,9.450788193569963,5063,[1.9099075880858583],[8.135422057534202]
66,22-2,21,22,3.3601547018218176,4.3183552600086355,21-4,[6.720309403643635],[4.735652707246722]
67,22-3,508,22,0.9955212320391724,9.642167677324865,5081,[1.9910424640783444],[8.351344263650805]
68,22-4,23,22,2.796000914730012,5.86783897495149,23-2,[5.592001829460024],[6.437477618371337]
69,23-1,507,23,0.6405521411555772,10.123057715539689,5073,[1.2811042823111545],[9.790961682950961]
70,23-2,22,23,2.7857880309017764,5.86783897495149,22-4,[5.571576061803553],[5.2982003315316435]
71,23-3,gneJ13,23,0.5808210297441962,6.744777914297563,23-6,[1.1616420594883925],[6.743047210310523]
72,23-4,3169914225,23,1.542029672564208,6.721936267620218,23-5,[3.084059345128416],[6.883468712615198]
73,23-5,23,3169914225,1.5357656148852898,6.721936267620218,23-4,[3.0715312297705797],[6.560403822625239]
74,23-6,23,gneJ13,0.5808210297441962,6.744777914297563,23-3,[1.1616420594883925],[6.7465086182846035]
75,234860056#1,645,7684364332,9.632393968937206,5.590059927371098,6453,[19.264787937874413],[4.682129900031608]
76,236808923#1,shuangbo,2581583434,2.8993282411391217,24.041986843829456,0,[2.8993282411391217],[24.041986843829456]
77,237315097#0,514,2452355799,29.839205172245265,3.848731498926892,5141,[59.67841034449054],[6.897714155971887]
78,24-1,530,24,24.9429774848523,3.7543414943626714,5303,[49.8859549697046],[5.951703352942352]
79,24-2,guozhan,24,9.72304204026946,3.491777286548944,guozhan4,[19.446084080538924],[2.4800818368956077]
80,24-3,gneJ14,24,1.022521581732108,6.853949462259385,24-5,[2.045043163464216],[6.945000000000001]
81,24-4,529,24,6.89337100732248,3.5153937603466137,5292,[13.78674201464496],[4.702804391312814]
82,24-5,24,gneJ14,1.022521581732108,6.853949462259385,24-3,[2.045043163464216],[6.762898924518766]
83,25-1,522,25,21.747692572667496,4.060292230114967,5223,[43.495385145335],[3.801358318287901]
84,25-2,529,25,17.28615705697287,2.7900768392329445,5294,[34.57231411394574],[3.8635725867863226]
85,25-3,34,25,10.709107212698775,5.9966235863524435,34-1,[21.41821442539755],[5.149464715484508]
86,25-4,26,25,13.737935332919756,2.0036770244439293,26-2,[27.47587066583951],[2.2805975093968973]
87,26-1,519,26,27.47387661804248,2.798328341469372,5193,[54.947753236084964],[4.160015070736458]
88,26-2,25,26,13.737935332919756,2.0036770244439293,25-4,[27.47587066583951],[1.7267565394909616]
89,26-3,35,26,37.837603694725146,1.169908722046171,35-1,[75.6752073894503],[1.6625823272887599]
90,26-4,27,26,25.69272531992089,1.4080368351680481,27-2,[51.38545063984178],[1.3663556423356162]
91,27-1,28,27,24.736194869077856,4.982057637111782,28-3,[49.47238973815571],[0.858277289541269]
92,27-2,26,27,25.69272531992089,1.4080368351680481,26-4,[51.38545063984178],[1.44971802800048]
93,27-3,36,27,25.972259760605215,3.303000781207756,36-1,[51.94451952121044],[5.870347774183582]
94,27-4,29,27,5.7971546277230255,3.5665511377531396,29-2,[11.594309255446053],[1.7094958457722438]
95,28-1,513,28,20.337544859369284,4.358308324358871,5133,[40.67508971873857],[1.9209481869157168]
96,28-3,27,28,24.736194869077856,4.982057637111782,27-1,[49.47238973815571],[9.105837984682294]
97,28-4,510,28,25.52147588174047,3.7553427439286886,5102,[51.042951763480936],[1.1795318271125736]
98,29-1,gneJ15,29,1.5199531328563585,6.142729023452614,29-6,[3.0399062657127174],[5.610314047251538]
99,29-2,27,29,5.7971546277230255,3.5665511377531396,27-4,[11.594309255446053],[5.423606429734035]
100,29-3,37,29,2.401452225395887,20.035172941156386,0,[2.401452225395887],[20.035172941156386]
101,29-4,32,29,2.0960379836940173,5.772000531597044,32-2,[4.192075967388035],[5.619784149606529]
102,29-5,29,2429079888,1.2708971126718291,25.89440908340692,0,[1.2708971126718291],[25.89440908340692]
103,29-6,29,gneJ15,1.5199531328563582,6.142729023452614,29-1,[3.0399062657127165],[6.67514399965369]
104,3-1,gneJ37,3,1.043210387920851,6.656886232596377,3-5,[2.086420775841702],[6.78302972941537]
105,3-2,2429079891,3,0.7872763827342852,10.244624184936722,3-6,[1.5745527654685705],[10.729358528591929]
106,3-3,1,3,1.344242002243627,9.898997024917291,1-1,[2.688484004487254],[7.931319105218462]
107,3-4,5365737697,3,1.9951716845234535,8.61972783647006,3-7,[3.990343369046906],[6.916556617676982]
108,3-5,3,gneJ37,1.043210387920851,6.656886232596377,3-1,[2.086420775841702],[6.530742735777383]
109,3-6,3,2429079891,0.7872763827342852,10.244624184936722,3-2,[1.5745527654685705],[9.759889841281513]
110,3-7,3,5365737697,1.9951716845234535,8.61972783647006,3-4,[3.990343369046906],[10.322899055263138]
111,30-1,31,30,1.699668647882732,11.326020609450373,31-3,[3.399337295765464],[11.394889954597842]
112,30-2,510,30,20.217914639650935,4.134470534591311,5104,[40.43582927930187],[5.8853718143644915]
113,30-3,gneJ15,30,8.555135504673279,4.880979954184891,30-5,[17.110271009346558],[3.0542790420064243]
114,30-4,509,30,4.5535786514581575,4.544130431415098,5092,[9.107157302916313],[2.960700272696631]
115,30-5,30,gneJ15,8.555135504673279,4.880979954184891,30-3,[17.110271009346558],[6.707680866363358]
116,31-1,gneJ16,31,1.8418197664194313,6.4175121296625095,-gneE28,[3.6836395328388627],[6.185379678741481]
117,31-2,511,31,0.9276799186511842,6.469485571140818,5114,[1.855359837302368],[6.548427383390012]
118,31-3,30,31,1.699668647882732,11.326020609450373,30-1,[3.399337295765464],[11.257151264302902]
119,31-4,508,31,1.092279208194906,6.411084146906617,5082,[2.184558416389812],[6.361270696479226]
120,32-1,509,32,0.8804744979739754,9.984218356542256,5093,[1.7609489959479505],[9.527022168309049]
121,32-2,29,32,2.0960379836940173,5.772000531597044,29-4,[4.192075967388035],[5.924216913587558]
122,32-4,3617136307,32,0.9757474011685257,6.566804895248562,32-5,[1.9514948023370513],[6.550733997453734]
123,32-5,32,3617136307,0.9757474011685257,6.566804895248562,32-4,[1.9514948023370513],[6.58287579304339]
124,320964139#1,583,3276692253,5.238254059008776,4.445935871637748,5832,[10.476508118017554],[6.410414449257931]
125,33-1,guozhan,33,4.950866432540271,3.312657423723599,guozhan3,[9.901732865080543],[3.002034028668334]
126,33-2,gneJ20,33,0.6245677990830345,6.212925583314369,38-8,[1.249135598166069],[6.739585468646153]
127,33-3,hanzhong,33,2.306246437358847,6.724437985802333,hanzhong1,[4.612492874717694],[6.590798155240069]
128,33-4,gneJ18,33,13.899798614545654,4.226847910252728,34-6,[27.799597229091308],[6.413651781306819]
129,34-1,25,34,10.709107212698775,5.9966235863524435,25-3,[21.41821442539755],[6.843782457220378]
130,34-2,gneJ18,34,16.84513867639059,3.943479782413701,34-5,[33.69027735278118],[1.0698335828424521]
131,34-3,qiyue,34,7.05714128342494,5.156366232228127,qiyue1,[14.114282566849878],[1.9585513402306538]
132,34-4,35,34,18.861101704419465,4.662573937674163,35-2,[37.72220340883893],[8.410235475967527]
133,34-5,34,gneJ18,16.84513867639059,3.943479782413701,34-2,[33.69027735278118],[6.81712598198495]
134,34-6,33,gneJ18,13.667976249507316,4.226847910252728,33-4,[27.33595249901463],[2.0400440391986363]
135,34-7,gneJ20,gneJ18,11.491185677899885,3.993228131621785,34-8,[22.98237135579977],[2.3590183178791695]
136,34-8,gneJ18,gneJ20,11.491185677899885,3.993228131621785,34-7,[22.98237135579977],[5.627437945364401]
137,35-1,26,35,37.837603694725146,1.169908722046171,26-3,[75.6752073894503],[0.6772351168035825]
138,35-2,34,35,18.775974389633664,4.662573937674163,34-4,[37.55194877926733],[0.9149123993808003]
139,35-3,tongtai,35,1.0731736487825028,5.337659898523702,tongtai1,[2.1463472975650055],[4.228118246772424]
140,35-4,36,35,30.00235831420798,3.6702127059993592,36-2,[60.004716628415956],[6.638735845227479]
